Record Name:,Data Broker Registrationses,,,,,,,,,,,,,,,,,
Exported On:,"Jun 4, 2026 11:15 AM",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Registration Number,Full Legal Name,Primary Physical Address,Data Broker Email Address,Website,Consumer Rights Link,Telephone Number,Contact Person,Categories of Data Processed and Transferred,Purchaser Credentialing Process,Data of a Known Child,Data of a Known Child - Additional Details,Data of a Known Child - Law Compliance,Number of Security Breaches,Security Breaches - Additional Details,Additional Information or Explanation,Authorized Person,Authorized Person Title,Submitted On
20260088,"Vintory, LLC","1103 SOMERSET PL , LUTHERVILLE , MD , 21093 , United States",brooke@vintory.com,www.vintory.com,https://www.vintory.com/privacy-policy/,4104583900,David Brooke  Pfautz,"Names, mailing addresses, email addresses, and phone numbers of short-term rental property owners, as well as property details and amenity information.",Yes,No,,,0,,"Vintory is a B2B data platform that provides property management companies with contact information for short-term rental property owners, including names, mailing addresses, email addresses, and phone numbers. Data is sourced from publicly available records and licensed third-party data sources. PIPER does not collect data directly from consumers and does not sell data for consumer credit, employment, or insurance purposes",David Brooke Pfautz,CEO,4/17/2026
20260087,"Dataman Group, Inc","22594 Lemon Tree Lane , Boca Raton , FL , 33428-5512 , United States",dale@datamangroup.com,www.datamangroup.com,https://www.datamangroup.com/privacy/,5614519302,DALE FILHABER,"Dataman Group Direct  (Dataman Group, Inc)  is a provider of marketing data and audience targeting solutions. We do not collect personal data directly from consumers. We license and resell data from third-party providers. Our services support marketing, outreach, and lead generation

Types of Data Provided:
Consumer name and postal address
Household demographics (modeled and compiled)
Property and homeownership data
Lifestyle and interest-based segments (modeled)
Contact data (phone/email where available)

Some segments may include modeled cultural or affinity indicators derived from:
Name patterns
Geographic concentration
Aggregated public and survey-based inputs

Dataman Group Inc recognizes that certain data categories (e.g., religion, ethnicity) may be considered sensitive under applicable laws:
Such data is modeled, not self-reported
It is intended for marketing relevance and community outreach
It is not used for eligibility, decisioning, or exclusionary practices

Dataman Group, Inc provides data for:
Direct mail marketing
Email marketing
Telemarketing (where permitted)
Community and nonprofit outreach",Yes,No,,,0,,"Dataman Group Direct operates as a provider of third-party marketing data and does not collect personal data directly from consumers. The company is committed to responsible data practices, including transparency, data minimization, and appropriate use of modeled and aggregated data for marketing and outreach purposes.",Dale Filhaber,CEO,4/15/2026
20260086,Aluum LLC d/b/a Gateway Data,"2150 N 1ST ST STE 400 PMB 3050 , SAN JOSE , CA , 95131-2043 , United States",systems@gatewaydata.io,gatewaydata.io,https://www.gatewaydata.io/privacy/privacy-policy,4804427603,Tom Donahue,"Gateway processes and transfers the following categories of personal data (as defined in Tex. Bus. & Com. Code §509.001(11)):

Contact and identification information: Names, postal addresses, email addresses, phone numbers, social media profiles
Demographic information: Age, date of birth, gender
Professional and employment information: Job titles, employer names
Education information: universities attended, majors, degrees
Online identifiers: IP addresses, cookie identifiers, device identifiers, browsing/behavioral data",Yes,No,,,0,,Please see privacy policy here: https://www.gatewaydata.io/privacy/privacy-policy,Tom Donahue,CEO,4/16/2026
20260085,"365DataSolutions, LLC","3250 BONITA BEACH RD # 205-213 , BONITA SPRINGS , FL , 34134-4190 , United States",srusso@365datasolutions.com,www.365datasolutions.com,https://365datasolutions.com/privacy,8476130486,Steven Russo,"365 DataSolutions provides information and verification services to commercial clients using publicly available information and commercially licensed data sources.

The categories of data processed and transferred may include:

- Personal identifiers, such as name and alias information  
- Contact information, including current and historical addresses and, where available, phone numbers and email addresses  
- Public records information, including property records, court records, and other publicly available records  
- Business and employment-related information, where available from authorized sources  
- Financial verification indicators, including bank account verification status or related indicators derived from authorized sources  
- Other verification-related data elements used to support identity, location, or background-related inquiries  

Data is obtained from publicly available records and authorized third-party data providers.

365 DataSolutions, LLC provides this information to commercial clients for legitimate business purposes, including verification, research, and other lawful activities. The company does not provide personal information for marketing, advertising, or general consumer profiling purposes.",Yes,No,,,0,,"365 DataSolutions provides information and verification services to commercial clients using a combination of publicly available information and commercially licensed data sources.

Certain data elements processed by 365 DataSolutions consist of publicly available records, such as property records, court records, and other non-regulated information. In addition, the company may process limited verification-related data elements, including bank account verification indicators and employment-related information, obtained from authorized sources.

365 DataSolutions processes and provides this information solely for legitimate business purposes, including identity verification, research, and other lawful activities. The company does not provide personal information for marketing, advertising, or general consumer profiling purposes.

All data is obtained from authorized sources and provided to commercial clients in accordance with applicable law.",Steven Russo,CEO,4/15/2026
20260084,"USADATA, Inc.","875 3RD AVE FL 6A , NEW YORK , NY , 10022-7203 , United States",privacy@usadata.com,www.usadata.com,https://www.usadata.com/privacy-policy,2126791411,Farooq Murtaza,"Consumer Data
Contact details (names, postal addresses, email addresses, phone numbers)
Demographic and psychographic attributes (age, income, interests)
Geographic and lifestyle information (location, homeowner status)

Business Data
Company name, address, and contact details
Firmographic details (industry, company size, revenue, employee count)
Location-based data and office branches",Yes,No,,,0,,"USADATA does not compile its own data; rather, it operates as a data reseller by acquiring consumer and business information from external data compilers and third-party sources for redistribution to its clients.",Farooq Murtaza,VP Media & IT,4/7/2026
20260083,Factori Technologies Pte Ltd. ,"80 Raffles Place, #54-01/02 UOB Plaza, Singapore-048624",privacy@factori.ai,https://factori.ai/,https://factori.ai/privacy-policy/,6597270234,Vanya Srikant,"The company processes geolocation and mobility data collected via software development kits (SDKs) integrated into partner mobile applications. This includes device-generated location signals, time-stamped location history, and associated device and network identifiers such as mobile advertising IDs and IP addresses. The company also processes derived and modeled data based on mobility patterns and may use aggregated and/or de-identified datasets for analytics purposes.",Yes,No,,,0,,,Vanya Srikant,Sr. Legal Officer,4/2/2026
20260082,NFocus Consulting Inc,"1594 HUBBARD DR , LANCASTER , OH , 43130-8124 , United States",consumer@n-focus.com,https://www.n-focus.com/,https://www.n-focus.com/do-not-sell-or-share-my-personal-information/,7406545809,Sarah Kanavel,"The categories of data we process and transfer include: (Please note that examples may not be applicable to every individual.)

Personal Identifiers (e.g., name, birth year, mailing address, phone number, voter registration); 

Financial Information (e.g., loan type, mortgage amount, lender name); 

Characteristics of Protected Classifications (e.g., gender, age, marital status, veteran status); 

Commercial Information (e.g., property location & characteristics, dwelling type, property value, vehicle make/model/year, move-in date ); 

Employment/Professional Information (e.g., occupation); 

Health Information (e.g., ailments); 

Internet & network information (e.g., browsing history, IP address, data collected by cookies and similar technologies, Site interactions, device information such as device IDs, specifications, and operating system); 

Geolocation Data (e.g., latitude & longitude of residence); 

Inferences drawn from the above categories of Personal Information that relate to your preferences, characteristics, psychological trends, predispositions, behavior, attitudes, intelligence, abilities, and aptitudes (e.g., value scores, net worth models, interests, familial relationships, milestones such as engagement or pregnancy, purchase likelihood models). ",Yes,No,,,0,,,Sarah Kanavel,Operations Project Manager,4/6/2026
20260081,Propbot LLC,"5900 BALCONES DR STE 100 , AUSTIN , TX , 78731-4298 , United States",support@propbotusa.com,https://propbotusa.com/,https://propbotusa.com/consumer-rights,4699330340,Evan  Whinery ,"Categories of Data Processed and Transferred

1. Personal Identifiers

Full name
Email address
Phone number
Mailing address

2. Account & Authentication Data

Username
Password
Profile information (e.g., profile picture)

3. Financial & Payment Information

Credit card details
Billing address
Payment transaction data

4. Technical & Device Data

IP address
Browser type
Operating system
Device model

5. Usage & Activity Data

Pages visited
Time spent on the platform
Links clicked
Interaction with services

6. Cookies & Tracking Data

Cookies
Web beacons
Similar tracking technologies used for analytics and performance monitoring

7. Service-Generated / Shared Data

Property-related information (e.g., job site address when requesting quotes)
User-submitted information for service requests
Contact details shared with third-party service providers for estimates/quotes",Yes,No,,,0,,,Alex Jensen,Managing Member,3/30/2026
20260080,"JG Media, Inc.","16225 IMPACT WAY , PFLUGERVILLE , TX , 78660-4403 , United States",dev@communityimpact.com,https://communityimpact.com/,https://communityimpact.com/consumer-rights,5129896808,Joel Rothrock,"Contact information constituting personal identifying information under Tex. BCC § 509.001(6): email address, full name, physical and mailing address, and telephone number.  ",Yes,No,,,0,,,Joel Rothrock,Sr Data Engineer,3/25/2026
20260079,"Neustar IP Intelligence, Inc.","555 W ADAMS ST , CHICAGO , IL , 60661-3719 , United States",privacy@transunion.com,http://www.transunion.com/,https://www.transunion.com/consumer-privacy,8663108783,David Healy,"Categories of personal data which may be collected: Identifiers (name, address, phone number, email); Sensitive data: (government identifiers, Social Security numbers, racial or ethnic origin, religious or philosophical beliefs, precise geolocation date); Commercial data; Customer Relationship Management data; Inferences drawn from other Personal Data; Internet or other similar electronic network activity; Pseudonymous IDs (information linked to devices, cookies, MAIDs, IP addresses); Geolocation Data",Yes,No,,,0,,"Data broker may sell/share categories of Personal Information (except government identifiers and precise geolocation data) to third parties, e.g., customers, in connection with the delivery of our services: Marketing Solutions, Risk Solutions, and Communications Solutions.
To opt out of receiving marketing messages, visit: https://dmachoice.thedma.org/; www.networkadvertising.org/managing/opt_out.asp; https://optout.aboutads.info. 
Data broker also offers opt-out and data privacy rights regarding online and offline data consistent with comprehensive privacy laws in applicable states; more information is available at https://www.transunion.com/privacy/neustar.",David Healy,US Privacy Operations,2/27/2026
