license_no|profession_name|license_type_name|full_name|addr_phone|doing_business_as|addr_line_4|license_status_name|expiration_date|
DATA-00060|DFR-Data Broker|Data Broker|DIGITAL VIKING MEDIA INC|5032030001|Digital Viking Media Inc|Tustin CA  92780|Active|12/31/2026 12:00:00 AM|
DATA-00061|DFR-Data Broker|Data Broker|PEOPLEFINDERS LLC|8007188997||SACRAMENTO CA  95811|Active|12/31/2026 12:00:00 AM|
DATA-00063|DFR-Data Broker|Data Broker|PROPERTY REACH L.P.|8779090059||SACRAMENTO CA  95811|Active|12/31/2026 12:00:00 AM|
DATA-00064|DFR-Data Broker|Data Broker|EPSILON DATA MANAGEMENT LLC|9703243000||IRVING TX  75039|Active|12/31/2026 12:00:00 AM|
DATA-00065|DFR-Data Broker|Data Broker|ENFORMION LLC|8552813915|Tracers.com; Enformion; Endato.com|Sacramento CA  95811|Active|12/31/2026 12:00:00 AM|
DATA-00066|DFR-Data Broker|Data Broker|People Data Labs Inc|888-868-1028||New York NY  10010|Active|12/31/2026 12:00:00 AM|
DATA-00068|DFR-Data Broker|Data Broker|BEEN VERIFIED LLC|2127380028|www.beenverified.com|New York NY  10018|Active|12/31/2026 12:00:00 AM|
DATA-00069|DFR-Data Broker|Data Broker|TRUTHFINDER LLC|8559213711|TruthFinder|San Francisco CA  94114|Active|12/31/2026 12:00:00 AM|
DATA-00070|DFR-Data Broker|Data Broker|INSTANT CHECKMATE LLC|8775643003|InstantCheckmate.com|San Francisco CA  94114|Active|12/31/2026 12:00:00 AM|
"DATA-00071|DFR-Data Broker|Data Broker|INTELIUS LLC|8775643253|Intelius, US Search & US Search Pro|San Francisco CA  94114|Active|12/31/2026 12:00:00 AM|"
DATA-00072|DFR-Data Broker|Data Broker|LIVERAMP HOLDINGS INC|8889876764||SAN FRANCISCO CA  94105|Active|12/31/2026 12:00:00 AM|
DATA-00073|DFR-Data Broker|Data Broker|M & R STRATEGIC SERVICES INC|2055405533|N/A|WASHINGTON DC  20009|Active|12/31/2026 12:00:00 AM|
DATA-00074|DFR-Data Broker|Data Broker|SOCIAL CATFISH LLC|8444228347||Murrieta CA  92563-2563|Active|12/31/2026 12:00:00 AM|
DATA-00075|DFR-Data Broker|Data Broker|RELX INC|8005436862|LexisNexis|WILMINGTON DE  19801|Active|12/31/2026 12:00:00 AM|
DATA-00076|DFR-Data Broker|Data Broker|ALLIANT COOPERATIVE DATA SOLUTIONS LLC|8456175500||Brewster NY  10509|Active|12/31/2026 12:00:00 AM|
DATA-00077|DFR-Data Broker|Data Broker|ZOOMINFO TECHNOLOGIES LLC|8669049666||Vancouver WA  98660|Active|12/31/2026 12:00:00 AM|
DATA-00078|DFR-Data Broker|Data Broker|SIMIO CLOUD LLC|8666003430||Westminster CO  80021|Active|12/31/2026 12:00:00 AM|
DATA-00081|DFR-Data Broker|Data Broker|ANCHOR COMPUTER INC|6313069336||Melville NY  11747|Active|12/31/2026 12:00:00 AM|
DATA-00082|DFR-Data Broker|Data Broker|S&P GLOBAL INC|2124381000|R.L.POLK & COMPANY|New York NY  10041|Active|12/31/2026 12:00:00 AM|
DATA-00084|DFR-Data Broker|Data Broker|FRAISER LLC|8335101503||Irvine CA  92618|Active|12/31/2026 12:00:00 AM|
"DATA-00087|DFR-Data Broker|Data Broker|DATA AXLE INC|4028363377|Data Axle, Donorbase, Inc.|BELLEVUE NE  68005|Active|12/31/2026 12:00:00 AM|"
DATA-00091|DFR-Data Broker|Data Broker|VEEVA SYSTEMS INC|925-452-6500|Veeva Systems Inc.|Pleasanton CA  94588|Active|12/31/2026 12:00:00 AM|
DATA-00092|DFR-Data Broker|Data Broker|DATAMENTORS LLC|6304135323|Porch Group Media|Wesley Chapel FL  33544|Active|12/31/2026 12:00:00 AM|
DATA-00093|DFR-Data Broker|Data Broker|Deloitte Financial Advisory Services LLP|3033053906|Deloitte Financial Advisory Services LLP|new york NY  10112|Active|12/31/2026 12:00:00 AM|
DATA-00094|DFR-Data Broker|Data Broker|CTAM LEADSHARE CORP|3014858933||WASHINGTON DC  20745|Active|12/31/2026 12:00:00 AM|
DATA-00095|DFR-Data Broker|Data Broker|DATA PARTNERS INC|2392678762||Fort Myers FL  33908|Active|12/31/2026 12:00:00 AM|
DATA-00096|DFR-Data Broker|Data Broker|ANALYTICSIQ INC|8886124309||Atlanta GA  30328|Active|12/31/2026 12:00:00 AM|
DATA-00097|DFR-Data Broker|Data Broker|CLICKAGY LLC|8337371973||Vancouver WA  98660|Active|12/31/2026 12:00:00 AM|
DATA-00098|DFR-Data Broker|Data Broker|DATANYZE LLC|3607185630|Datanyze LLC|Vancouver WA  98660|Active|12/31/2026 12:00:00 AM|
DATA-00099|DFR-Data Broker|Data Broker|DATALINE INC|6094526014||Princeton NJ  08540|Active|12/31/2026 12:00:00 AM|
DATA-00100|DFR-Data Broker|Data Broker|SHEERID INC|5033206614|SheerID|Portland OR  97201|Active|12/31/2026 12:00:00 AM|
DATA-00101|DFR-Data Broker|Data Broker|VERASET LLC|6303737785|Veraset|WILMINGTON DE  19802|Active|12/31/2026 12:00:00 AM|
DATA-00102|DFR-Data Broker|Data Broker|STATARA SOLUTIONS LLC|8882078743||Wilmington DE  19809|Active|12/31/2026 12:00:00 AM|
DATA-00103|DFR-Data Broker|Data Broker|ARISTOTLE INTERNATIONAL INC|2025537303||Washington DC  20003|Active|12/31/2026 12:00:00 AM|
DATA-00105|DFR-Data Broker|Data Broker|HEARTBEAT.AI INC|13323334114||DOVER DE  19901|Active|12/31/2026 12:00:00 AM|
DATA-00106|DFR-Data Broker|Data Broker|DECIDE TECHNOLOGIES INC|8009835280|Decide|Saint Louis MO  63103|Active|12/31/2026 12:00:00 AM|
DATA-00107|DFR-Data Broker|Data Broker|LEAD411 CORPORATION|5055002317||Boulder CO  80304|Active|12/31/2026 12:00:00 AM|
"DATA-00108|DFR-Data Broker|Data Broker|THE ALESCO GROUP LLC|12392777529|RESPONSE SOLUTIONS GROUP LLC, STAT RESORCE GROUP INC|Fort Myers FL  33919|Active|12/31/2026 12:00:00 AM|"
DATA-00110|DFR-Data Broker|Data Broker|FIDEO INTELLIGENCE INC|8883306943||Denver CO  80203|Active|12/31/2026 12:00:00 AM|
DATA-00111|DFR-Data Broker|Data Broker|MELISSA DATA CORPORATOIN|8006354772|Melissa|Rancho Santa Margarita CA  92688|Active|12/31/2026 12:00:00 AM|
DATA-00112|DFR-Data Broker|Data Broker|VERSIUM ANALYTICS INC|8003950164||Redmond WA  98052|Active|12/31/2026 12:00:00 AM|
DATA-00113|DFR-Data Broker|Data Broker|NFOCUS CONSULTING INC|7406545809||Lancaster OH  43130|Active|12/31/2026 12:00:00 AM|
DATA-00115|DFR-Data Broker|Data Broker|AUSTIN CONSOLIDATED HOLDINGS INC|8662956801||Atlanta GA  30309|Active|12/31/2026 12:00:00 AM|
DATA-00118|DFR-Data Broker|Data Broker|IXI CORPORATION|8662956801||Atlanta GA  30309|Active|12/31/2026 12:00:00 AM|
DATA-00119|DFR-Data Broker|Data Broker|KNOWLEDGE WORKS INC|8662956801|PayNet|Atlanta GA  30309|Active|12/31/2026 12:00:00 AM|
DATA-00120|DFR-Data Broker|Data Broker|EQUIFAX INFORMATION SERVICES LLC|8662956801||Atlanta GA  30309|Active|12/31/2026 12:00:00 AM|
DATA-00122|DFR-Data Broker|Data Broker|ANTERIAD LLC|9143681000||New York NY  10573|Active|12/31/2026 12:00:00 AM|
DATA-00123|DFR-Data Broker|Data Broker|SPECIALISTS MARKETING SERVICES INC|2018655800||SADDLE BROOK NJ  07663|Active|12/31/2026 12:00:00 AM|
DATA-00124|DFR-Data Broker|Data Broker|CATALIST LLC|2029627250||Washington DC  20005|Active|12/31/2026 12:00:00 AM|
DATA-00125|DFR-Data Broker|Data Broker|CUEBIQ GROUP LLC|7042086615||New York NY  10036|Active|12/31/2026 12:00:00 AM|
"DATA-00126|DFR-Data Broker|Data Broker|ACH ADDRESS CLEARING HOUSE LLC|3024800432|ACH, Address Clearing House|Lewes DE  19958|Active|12/31/2026 12:00:00 AM|"
DATA-00129|DFR-Data Broker|Data Broker|BLACK PEARL GROUP LLC|6421585892||Wellington|Active|12/31/2026 12:00:00 AM|
DATA-00130|DFR-Data Broker|Data Broker|SEAMLESS CONTACTS INC|6146650450||DUBLIN OH  43016|Active|12/31/2026 12:00:00 AM|
DATA-00131|DFR-Data Broker|Data Broker|US DATA CORPORATION|8184444590|US DATA CORPORATION|AGOURA HILLS CA  91301|Active|12/31/2026 12:00:00 AM|
DATA-00132|DFR-Data Broker|Data Broker|WHITEPAGES INC|2067465409|Whitepages|Seattle WA  98121|Active|12/31/2026 12:00:00 AM|
DATA-00133|DFR-Data Broker|Data Broker|CARRY TECHNOLOGIES INC|3392261809|Hightouch|SAN FRANCISCO CA  94104|Active|12/31/2026 12:00:00 AM|
DATA-00134|DFR-Data Broker|Data Broker|AZIRA LLC|16268897690|Azira LLC|PASADENA CA  91101|Active|12/31/2026 12:00:00 AM|
DATA-00135|DFR-Data Broker|Data Broker|SPEEDEON DATA LLC|8666479219|Speedeon Data LLC|Cleveland OH  44124|Active|12/31/2026 12:00:00 AM|
DATA-00137|DFR-Data Broker|Data Broker|GIANT PARTNERS INC|8052671575|List Giant|Newbury Park CA  91320|Active|12/31/2026 12:00:00 AM|
"DATA-00138|DFR-Data Broker|Data Broker|I360 LLC|8446112737|I360, LLC|Arlington VA  22201|Active|12/31/2026 12:00:00 AM|"
DATA-00142|DFR-Data Broker|Data Broker|WINDFALL DATA INC|4157429660||San Francisco CA  94133|Active|12/31/2026 12:00:00 AM|
DATA-00143|DFR-Data Broker|Data Broker|DTN LLC|8004854000||Bloomington MN  55425|Active|12/31/2026 12:00:00 AM|
DATA-00145|DFR-Data Broker|Data Broker|SEMASIO INC|4154005750||San Francisco CA  94107|Active|12/31/2026 12:00:00 AM|
DATA-00146|DFR-Data Broker|Data Broker|TASK GENIE INC|917-975-4714|DataLane|New York NY  10038|Active|12/31/2026 12:00:00 AM|
DATA-00147|DFR-Data Broker|Data Broker|LEADSPACE INC|8555323772|Leadspace|Palo Alto CA  94301|Active|12/31/2026 12:00:00 AM|
DATA-00148|DFR-Data Broker|Data Broker|PUBLICNSA LLC DBA BIGDBM|3365587717|BIGDBM|Surfside FL  33154|Active|12/31/2026 12:00:00 AM|
DATA-00150|DFR-Data Broker|Data Broker|LABELS & LISTS INC|7322994630||BOTHELL WA  98011|Active|12/31/2026 12:00:00 AM|
"DATA-00151|DFR-Data Broker|Data Broker|MAXMIND INC|6175004493|MaxMind, Inc.|KEIZER OR  97303|Active|12/31/2026 12:00:00 AM|"
DATA-00152|DFR-Data Broker|Data Broker|EREPUBLIC LLC|9169321300|e.Republic LLC|folsom CA  95630|Active|12/31/2026 12:00:00 AM|
DATA-00153|DFR-Data Broker|Data Broker|HIRETEAMMATE INC|8887979291||Mountain View CA  94043|Active|12/31/2026 12:00:00 AM|
DATA-00154|DFR-Data Broker|Data Broker|GUIDESTAR DIRECT CORP|9495815100||Irvine CA  92618|Active|12/31/2026 12:00:00 AM|
DATA-00156|DFR-Data Broker|Data Broker|MEDIAWALLAH INC|9177141616||WILMINGTON DE  19805|Active|12/31/2026 12:00:00 AM|
DATA-00158|DFR-Data Broker|Data Broker|A DIRECT MARKETING INC|8003409790|Bookyourdata|WILMINGTON DE  19801|Active|12/31/2026 12:00:00 AM|
DATA-00159|DFR-Data Broker|Data Broker|ORGIO INC|6462090239|The Org|NEW YORK NY  10038|Active|12/31/2026 12:00:00 AM|
DATA-00160|DFR-Data Broker|Data Broker|TABOOLA INC|7507770593||New York NY  10010|Active|12/31/2026 12:00:00 AM|
DATA-00162|DFR-Data Broker|Data Broker|ATDATA LLC|3322404684||Dedham MA  02026|Active|12/31/2026 12:00:00 AM|
DATA-00163|DFR-Data Broker|Data Broker|REVEAL MOBILE INC|9193061529||RALEIGH NC  27606|Active|12/31/2026 12:00:00 AM|
DATA-00165|DFR-Data Broker|Data Broker|LEADIQ INC|8886532347||REDWOOD CITY CA  94065|Active|12/31/2026 12:00:00 AM|
DATA-00166|DFR-Data Broker|Data Broker|SWORDFISH AI INC|3323334112|Swordfish|Dover DE  19901|Active|12/31/2026 12:00:00 AM|
DATA-00167|DFR-Data Broker|Data Broker|PRECISELY SOFTWARE INCORPORATED|9784368900|Precisely|Burlington MA  01803|Active|12/31/2026 12:00:00 AM|
DATA-00168|DFR-Data Broker|Data Broker|PUBMATIC INC|6503313485||REDWOOD CITY CA  94063|Active|12/31/2026 12:00:00 AM|
DATA-00169|DFR-Data Broker|Data Broker|PIPL INC|9286422480||Post Falls ID  83854|Active|12/31/2026 12:00:00 AM|
DATA-00171|DFR-Data Broker|Data Broker|TECHTARGET INC|6174319200||AUBURNDALE MA  02466|Active|12/31/2026 12:00:00 AM|
"DATA-00172|DFR-Data Broker|Data Broker|EXACT OPCO LLC|5165677435|Exact Opco, LLC (dba Exact Customer)|NEW YORK NY  10018|Active|12/31/2026 12:00:00 AM|"
DATA-00173|DFR-Data Broker|Data Broker|POSTIE INC|8889924935||Austin TX  78746|Active|12/31/2026 12:00:00 AM|
DATA-00175|DFR-Data Broker|Data Broker|DIGITAL MEDIA SOLUTIONS|8772368632||LARGO FL  33771|Active|12/31/2026 12:00:00 AM|
DATA-00176|DFR-Data Broker|Data Broker|AUDIENCE ACUITY INC|9083332933|Audience Acuity|Las Vegas NV  89135|Active|12/31/2026 12:00:00 AM|
DATA-00177|DFR-Data Broker|Data Broker|MOBILEWALLA INC|7704026730|Mobilewalla|Chamblee GA  30341|Active|12/31/2026 12:00:00 AM|
DATA-00178|DFR-Data Broker|Data Broker|STEPPINGBLOCKS INC|4782787622||Atlanta GA  30305|Active|12/31/2026 12:00:00 AM|
DATA-00180|DFR-Data Broker|Data Broker|T-MOBILE USA INC|8009378997||Bellevue WA  98006|Active|12/31/2026 12:00:00 AM|
DATA-00181|DFR-Data Broker|Data Broker|OUTLOGIC LLC|7622280583||PEACHTREE CORNERS GA  30092|Active|12/31/2026 12:00:00 AM|
DATA-00182|DFR-Data Broker|Data Broker|MATCHBOOK DATA LLC|7622280583||Peachtree Corners GA  30092|Active|12/31/2026 12:00:00 AM|
DATA-00183|DFR-Data Broker|Data Broker|LEADPOST LLC|7654649141|LeadPost LLC|SAINT LOUIS MO  63101|Active|12/31/2026 12:00:00 AM|
DATA-00184|DFR-Data Broker|Data Broker|PACIFIC EAST RESEARCH INC|5037474474|PacificEast|Beaverton OR  97008|Active|12/31/2026 12:00:00 AM|
DATA-00187|DFR-Data Broker|Data Broker|FOCUS USA|2014892525|Focus USA|SALEM OR  97301|Active|12/31/2026 12:00:00 AM|
DATA-00188|DFR-Data Broker|Data Broker|CIVIS ANALYTICS INC|3129850173||Chicago IL  60606|Active|12/31/2026 12:00:00 AM|
DATA-00189|DFR-Data Broker|Data Broker|WILAND INC|3034858686||Niwot CO  80503|Active|12/31/2026 12:00:00 AM|
DATA-00190|DFR-Data Broker|Data Broker|CISION US INC|8666395087||CHICAGO IL  60606|Active|12/31/2026 12:00:00 AM|
"DATA-00191|DFR-Data Broker|Data Broker|WEBBULA LLC|8889932285|Webbula, LLC|Wexford PA  15090|Active|12/31/2026 12:00:00 AM|"
"DATA-00192|DFR-Data Broker|Data Broker|ELECTRONIC VOICE SERVICES INC|9727136622|Electronic Voice Services, Inc.|DALLAS TX  75240|Active|12/31/2026 12:00:00 AM|"
DATA-00193|DFR-Data Broker|Data Broker|LOOKIFY LLC|5165193689||PORTLAND OR  97223|Active|12/31/2026 12:00:00 AM|
DATA-00195|DFR-Data Broker|Data Broker|KLOUDEND INC|4085506507||PORTLAND OR  97239|Active|12/31/2026 12:00:00 AM|
DATA-00202|DFR-Data Broker|Data Broker|CLAY LABS LLC|3477629282|Clay|New York NY  10011|Active|12/31/2026 12:00:00 AM|
"DATA-00205|DFR-Data Broker|Data Broker|ZETA GLOBAL CORP|2129675055|DISQUS INC,  LIVEINTENT INC.|New York NY  10016|Active|12/31/2026 12:00:00 AM|"
DATA-00206|DFR-Data Broker|Data Broker|NEXXA GROUP INC|2392251516|NA|Fort Myers FL  33908|Active|12/31/2026 12:00:00 AM|
DATA-00209|DFR-Data Broker|Data Broker|6SENSE INSIGHTS INC|4152129225||San Francisco CA  94105|Active|12/31/2026 12:00:00 AM|
DATA-00210|DFR-Data Broker|Data Broker|ZIPSTORM INC|2064871983||BELLEVUE WA  98004|Active|12/31/2026 12:00:00 AM|
DATA-00211|DFR-Data Broker|Data Broker|CUSTOMER ASSET CONSULTING GROUP INC|6306352400|DataDelivers|SCHAUMBURG IL  60195|Active|12/31/2026 12:00:00 AM|
DATA-00212|DFR-Data Broker|Data Broker|PRIVATE RECORDS LLC|3052096937||TALLAHASSEE FL  32308|Active|12/31/2026 12:00:00 AM|
DATA-00213|DFR-Data Broker|Data Broker|DEMANDBASE INC|4156832660||SAN FRANCISCO CA  94105|Active|12/31/2026 12:00:00 AM|
DATA-00214|DFR-Data Broker|Data Broker|INFOMATICS LLC|5012324022||Sacramento CA  95814|Active|12/31/2026 12:00:00 AM|
DATA-00215|DFR-Data Broker|Data Broker|WE INFORM LLC|5614375788||SAINT PETERSBURG FL  33702|Active|12/31/2026 12:00:00 AM|
DATA-00216|DFR-Data Broker|Data Broker|THE PEOPLE SEARCHERS LLC|5618770862||TALLAHASSEE FL  32301|Active|12/31/2026 12:00:00 AM|
DATA-00217|DFR-Data Broker|Data Broker|TRUTH NOW LLC|2139350507||Sacramento CA  95811|Active|12/31/2026 12:00:00 AM|
"DATA-00218|DFR-Data Broker|Data Broker|MOODYS ANALYTICS INC|2125534614|Moody's Analytics, Inc.|NEW YORK NY  10007|Active|12/31/2026 12:00:00 AM|"
DATA-00220|DFR-Data Broker|Data Broker|MAGNITE INC|2122432769|Magnite|New York NY  10001|Active|12/31/2026 12:00:00 AM|
DATA-00222|DFR-Data Broker|Data Broker|TRESTLE SOLUTIONS INC|2065294827||Beaux Arts WA  98004|Active|12/31/2026 12:00:00 AM|
DATA-00223|DFR-Data Broker|Data Broker|VENPATH INC|2013047887||Long Beach NY  11561|Active|12/31/2026 12:00:00 AM|
DATA-00224|DFR-Data Broker|Data Broker|FINTHRIVE HEALTHCARE INC|8776365442|N/A|Plano TX  75024|Active|12/31/2026 12:00:00 AM|
DATA-00225|DFR-Data Broker|Data Broker|TSG HOLDCO LLC|8558283148|N/A|Plano TX  75024|Active|12/31/2026 12:00:00 AM|
DATA-00226|DFR-Data Broker|Data Broker|AFFINITY ANSWERS CORPORATION|5122228582||Austin TX  78727|Active|12/31/2026 12:00:00 AM|
DATA-00229|DFR-Data Broker|Data Broker|MILESTONE MARKETING SOLUTIONS|6367778231||O FALLON MO  63368|Active|12/31/2026 12:00:00 AM|
DATA-00230|DFR-Data Broker|Data Broker|COLLECTIVE DATA SOLUTIONS LLC|8009056941||Sandpoint ID  83864|Active|12/31/2026 12:00:00 AM|
DATA-00231|DFR-Data Broker|Data Broker|CLEARCOMPANY LLC|6179383801|N/A|Lewiston ME  04240|Active|12/31/2026 12:00:00 AM|
DATA-00232|DFR-Data Broker|Data Broker|GRASSROOTS ANALYTICS INC|6463196699|N/A|Washington DC  20001|Active|12/31/2026 12:00:00 AM|
DATA-00233|DFR-Data Broker|Data Broker|ECONOMIC MODELING LLC|2088833500||Moscow ID  83843|Active|12/31/2026 12:00:00 AM|
DATA-00234|DFR-Data Broker|Data Broker|NARVAR INC|8665280244|Narvar|san mateo CA  94401|Active|12/31/2026 12:00:00 AM|
DATA-00236|DFR-Data Broker|Data Broker|BH MARKETING GROUP LLC|8185747772|US Marketing Group|Ventura CA  93001|Active|12/31/2026 12:00:00 AM|
DATA-00237|DFR-Data Broker|Data Broker|DATONICS LLC|6468670647||long island city NY  11101|Active|12/31/2026 12:00:00 AM|
"DATA-00238|DFR-Data Broker|Data Broker|GETEMAILS LLC|5128256028|Retention.com, RB2B|austin TX  78701|Active|12/31/2026 12:00:00 AM|"
DATA-00240|DFR-Data Broker|Data Broker|REMODELING.COM LLC|6197521955|EverConnect|IRVINE CA  92618|Active|12/31/2026 12:00:00 AM|
DATA-00241|DFR-Data Broker|Data Broker|33 MILE RADIUS LLC|6197521955|EverConnect|IRVINE CA  92618|Active|12/31/2026 12:00:00 AM|
DATA-00242|DFR-Data Broker|Data Broker|KEYWORD CONNECTS LLC|6197521955|EverConnect|SAN DIEGO CA  92618|Active|12/31/2026 12:00:00 AM|
DATA-00243|DFR-Data Broker|Data Broker|JMR MEDIA CONSULTING INC|9542057282|JMR Media|Parkland FL  33076|Active|12/31/2026 12:00:00 AM|
DATA-00244|DFR-Data Broker|Data Broker|FOO MONK LLC|6572428111|Instantly.ai|SALEM OR  97301|Active|12/31/2026 12:00:00 AM|
DATA-00245|DFR-Data Broker|Data Broker|REDI-DATA INC|9732274380|Redi-Data Inc.|Fairfield NJ  07004-2105|Active|12/31/2026 12:00:00 AM|
DATA-00246|DFR-Data Broker|Data Broker|ADVERTISE4SALES INC|8888474437|4LegalLeads|Melbourne FL  32940|Active|12/31/2026 12:00:00 AM|
DATA-00247|DFR-Data Broker|Data Broker|REALEFLOW LLC|8555452095||brunswick OH  44212|Active|12/31/2026 12:00:00 AM|
DATA-00248|DFR-Data Broker|Data Broker|ALL GOOD MEDIA|6179917065|Attribits|SALEM OR  97301|Active|12/31/2026 12:00:00 AM|
DATA-00249|DFR-Data Broker|Data Broker|FOURLEAF LLC|8003606213||PORTLAND OR  97239|Active|12/31/2026 12:00:00 AM|
DATA-00250|DFR-Data Broker|Data Broker|UNEARTH CAMPAIGNS LLC|8554562646||Sacramento CA  95814|Active|12/31/2026 12:00:00 AM|
DATA-00251|DFR-Data Broker|Data Broker|WEALTHFEED|4804405539|WealthFeed|El Segundo CA  90245|Active|12/31/2026 12:00:00 AM|
